8, 4194304, 33554432, 3085465011.494253
16, 2097152, 33554432, 2796202666.666667
32, 1048576, 33554432, 2886402752.688172
64, 524288, 33554432, 2556528152.380952
128, 262144, 33554432, 2982616177.777778
256, 131072, 33554432, 3234162120.481927
512, 65536, 33554432, 2657776792.079208
1024, 32768, 33554432, 2767375835.051546
2048, 16384, 33554432, 3121342511.627907
4096, 8192, 33554432, 2657776792.079208
8192, 4096, 33554432, 2532409962.264151
16384, 2048, 33554432, 2739137306.122449
32768, 1024, 33554432, 3314017975.308642
65536, 512, 33554432, 2739137306.122449
131072, 256, 33554432, 2657776792.079208
262144, 128, 33554432, 2982616177.777778
524288, 64, 33554432, 2739137306.122449
1048576, 32, 33554432, 2855696340.425532
2097152, 16, 33554432, 2767375835.051546
4194304, 8, 33554432, 2631720156.862745
8388608, 4, 33554432, 2825636378.947369
16777216, 2, 33554432, 2236962133.333334
33554432, 1, 33554432, 1903797560.283688